rank,score,image,description,target_probability,reference_probability,probability_margin,best_target_prompt,best_reference_prompt,best_overall_prompt,width,height,extension,size_bytes,references,context_keyword_hits
8642,-0.9695284758927301,assets/images/2025/20241215_20250915/20250910_034640_0.jpg,a screenshot of a website,0.0006964308558963239,0.9709213376045227,-0.9702249067486264,a pie chart,a screenshot of a website,a screenshot of a website,1200,612,.jpg,52757,_posts/2025-09-15-weekly-OFS-64.md:119,
8643,-0.9697030954994261,assets/images/2025/20240712_20250111/20250110_023318_0.jpg,a screenshot of a website,0.0009322080295532942,0.9715675115585327,-0.9706353035289794,a doughnut chart,a screenshot of a website,a screenshot of a website,1200,675,.jpg,122729,_posts/2025-01-12-weekly-OFS-29.md:198,
8644,-0.9699301822438429,assets/images/2025/20250117_20250127_long_thread/20250122_043517_3.jpg,a microscope image,1.6892778148758225e-05,0.9699639678001404,-0.9699470750219916,a doughnut chart,a microscope image,a microscope image,1200,900,.jpg,101779,_posts/2026-06-13-100G-200G-400G-800G.md:58,
8645,-0.9715066743192438,assets/images/2024/ebeam/20191022_LiSa_mechanics_A_012.jpg,a microscope image,1.843808604462538e-05,0.971543550491333,-0.9715251124052884,a doughnut chart,a microscope image,a microscope image,1024,943,.jpg,268627,_posts/2024-10-13-yapping-on-ebeam-lithography.md:311,
8646,-0.9716534239923931,assets/images/imported/lnnb17-fab-si-hardmask-pattern-test-180820/image4.png,a microscope image,5.834187686559744e-05,0.9717701077461243,-0.9717117658692587,a doughnut chart,a microscope image,a microscope image,1024,943,.png,890212,_posts/2018-08-20-lnnb17-fab-si-hardmask-pattern-test-180820.md:151,
8647,-0.9723449057783,assets/images/2025/20250330_20250628/20250626_061115_2.jpg,a microscope image,8.274582796730101e-05,0.9725103974342346,-0.9724276516062673,a doughnut chart,a microscope image,a microscope image,900,1200,.jpg,125698,,
8648,-0.9729575690580532,assets/images/projects/2025_quantacrystals-1.png,a screenshot of a website,0.0006937892758287489,0.9743451476097107,-0.9736513583338819,a circular percentage chart,a screenshot of a website,a screenshot of a website,1577,960,.png,1867586,_posts/2026-01-08-weekly-OFS-80.md:330; _posts/2026-01-11-weekly-OFS-81.md:318; _posts/2026-01-20-weekly-OFS-82.md:361; _posts/2026-01-25-weekly-OFS-83.md:299; _posts/2026-02-02-weekly-OFS-84.md:330; _posts/2026-02-08-weekly-OFS-85.md:440; _posts/2026-02-17-weekly-OFS-86.md:400; _posts/2026-02-22-weekly-OFS-87.md:351; _posts/2026-03-02-weekly-OFS-88.md:325; _posts/2026-03-23-weekly-OFS-91.md:504; _posts/2026-03-30-weekly-OFS-92.md:266; _posts/2026-04-07-weekly-OFS-93.md:306; _posts/2026-04-13-weekly-OFS-94.md:247; _posts/2026-04-20-weekly-OFS-95.md:328; _posts/2026-04-27-weekly-OFS-96.md:299; _posts/2026-06-07-weekly-OFS-102.md:362; _posts/2026-06-14-weekly-OFS-103.md:388,
8649,-0.972973118070513,assets/images/2024/20240702_20241207/20241206_051655_1.jpg,a screenshot of a website,0.0022345136385411024,0.9774421453475952,-0.9752076317090541,a pie chart,a screenshot of a website,a screenshot of a website,1200,1010,.jpg,116527,_posts/2024-12-15-weekly-OFS-25.md:176,
8650,-0.9740159271750599,assets/images/2025/20241024_20251229/20251226_005750_0.jpg,a screenshot of a website,0.0010961414081975818,0.9762082099914551,-0.9751120685832575,a donut chart,a screenshot of a website,a screenshot of a website,1200,600,.jpg,65824,_posts/2025-12-29-weekly-OFS-79.md:233,
8651,-0.9749313849024475,assets/images/2025/20240701_20250621/20250618_151123_0.jpg,a screenshot of a website,0.0023321977350860834,0.9795957803726196,-0.9772635826375335,a circular percentage chart,a screenshot of a website,a screenshot of a website,1200,887,.jpg,183040,_posts/2025-06-22-weekly-OFS-52.md:192,
