rank,score,image,description,target_probability,reference_probability,probability_margin,best_target_prompt,best_reference_prompt,best_overall_prompt,width,height,extension,size_bytes,references,context_keyword_hits
1,1.7088636346161366,assets/images/2026/20241208_20260223/20260222_210806_0.jpg,a circular chart with colored slices,0.86407870054245,0.01929376646876335,0.8447849340736866,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,558,558,.jpg,375703,_posts/2026-02-22-weekly-OFS-87.md:277,
2,1.6801628321409225,assets/images/2024/20240829_20241109/20241107_024427_3.jpg,a doughnut chart,0.8623158931732178,0.044468954205513,0.8178469389677048,a doughnut chart,a scatter plot,a doughnut chart,768,520,.jpg,152950,_posts/2024-11-09-weekly-OFS-20.md:114,
3,1.5760800834978,assets/images/2024/pdf_classification_piechart_equally_distributed.png,a composition breakdown pie chart,0.7884846925735474,0.0008893016492947936,0.7875953909242526,a composition breakdown pie chart,a circular object that is not a chart,a composition breakdown pie chart,1000,800,.png,91610,_posts/2024-08-24-weekly-OFS-9.md:75,
4,1.5630818083882332,assets/images/2024/20240707_20241017/20241014_184725_3.jpg,a circular chart with colored slices,0.8200896978378296,0.077097587287426,0.7429921105504036,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1200,1165,.jpg,239617,_posts/2024-10-20-weekly-OFS-17.md:195,
5,1.5291881710290909,assets/images/2025/20250214_20250921/20250214_075429_1.jpg,a circular chart with colored slices,0.8019988536834717,0.07480953633785248,0.7271893173456192,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1200,1089,.jpg,369469,_posts/2025-09-21-weekly-OFS-65.md:197,
6,1.470914177596569,assets/images/2025/20241101_20250216/20250211_090617_2.jpg,a circular chart with colored slices,0.7689240574836731,0.06693393737077713,0.701990120112896,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1200,1023,.jpg,361319,_posts/2025-02-16-weekly-OFS-34.md:232,
7,1.3758125320076942,assets/images/2026/20240822_20260427/20260422_163351_0.jpg,a market share pie chart,0.7059721946716309,0.061131857335567474,0.6448403373360634,a market share pie chart,a scatter plot,a market share pie chart,1200,963,.jpg,278471,_posts/2026-04-27-weekly-OFS-96.md:85,"percent, percentage"
8,1.3710101619362831,assets/images/2025/20241101_20250216/20250212_070932_3.jpg,a circular chart with colored slices,0.740403950214386,0.10979773849248886,0.6306062117218971,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1167,1200,.jpg,103309,_posts/2025-02-16-weekly-OFS-34.md:254,
9,1.3524768874049187,assets/images/2026/OFC2026/IMG_4194.JPG,a circular percentage chart,0.7218198776245117,0.09116286784410477,0.630657009780407,a circular percentage chart,a circular object that is not a chart,a circular percentage chart,4032,3024,.jpg,1611273,_posts/2026-04-04-OFC2026.md:6971,
10,1.3032800778746605,assets/images/2024/20240702_20241207/20241207_212301_0.jpg,a circular chart with colored slices,0.6843902468681335,0.0655004158616066,0.618889831006527,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,640,360,.jpg,22809,_posts/2024-12-15-weekly-OFS-25.md:191,
11,1.2722346112132072,assets/images/2025/20241227_20251117/20251113_073437_0.jpg,a doughnut chart,0.6668283939361572,0.06142217665910721,0.60540621727705,a doughnut chart,a bar chart,a doughnut chart,1199,995,.jpg,67888,_posts/2025-11-16-weekly-OFS-73.md:140,
12,1.1970133930444717,assets/images/2025/20231216_20251013/20251011_010056_0.jpg,a circular chart with colored slices,0.6800275444984436,0.16304169595241547,0.5169858485460281,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1080,1080,.jpg,316569,_posts/2025-10-13-weekly-OFS-68.md:47; _posts/2025-10-13-weekly-OFS-68.md:216,
13,1.167168052867055,assets/images/2025/20240822_20250825/20250824_060821_1.jpg,a circular chart with colored slices,0.5947590470314026,0.022350041195750237,0.5724090058356524,a circular chart with colored slices,a bar chart,a circular chart with colored slices,1200,1016,.jpg,63205,_posts/2025-08-24-weekly-OFS-61.md:372,
14,1.1378248125314712,assets/images/2024/20240531_20241225/20241221_153424_1.jpg,a circular chart with colored slices,0.6661447882652283,0.2194647639989853,0.446680024266243,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,801,1200,.jpg,52351,_posts/2024-12-29-weekly-OFS-27.md:155,percent
15,1.1328977048397064,assets/images/2025/20250330_20250628/20250624_023946_1.jpg,a donut chart,0.5695671439170837,0.00623658299446106,0.5633305609226227,a donut chart,a bar chart,a donut chart,1200,789,.jpg,62716,_posts/2025-06-29-weekly-OFS-53.md:130,
16,1.1323713660240173,assets/images/2026/20250301_20260304/20260226_073828_0.jpg,a circular percentage chart,0.5959281921386719,0.059485018253326416,0.5364431738853455,a circular percentage chart,a line chart,a circular percentage chart,1200,702,.jpg,67210,_posts/2026-03-02-weekly-OFS-88.md:123,
17,1.1128248125314713,assets/images/2025/20240830_20250427/20250425_222654_1.jpg,a circular chart with colored slices,0.6661447882652283,0.2194647639989853,0.446680024266243,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,801,1200,.jpg,52351,_posts/2025-04-27-weekly-OFS-44.md:274,
18,1.0652740150690079,assets/images/2025/20240822_20250825/20250824_060821_2.jpg,a circular chart with colored slices,0.5572729110717773,0.049271807074546814,0.5080011039972305,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1200,1070,.jpg,74073,_posts/2025-08-24-weekly-OFS-61.md:373,
19,1.0637523606419563,assets/images/2024/20240930_20241009/20240930_173932_3.jpg,a donut chart,0.5688871741294861,0.07402198761701584,0.49486518651247025,a donut chart,a circular object that is not a chart,a donut chart,1109,1199,.jpg,122202,_posts/2024-10-13-weekly-OFS-16.md:63,
20,1.0201944410800934,assets/images/2026/20240704_20260519/20260501_051402_0.jpg,a doughnut chart,0.5996888279914856,0.1791832149028778,0.4205056130886078,a doughnut chart,a bar chart,a doughnut chart,751,824,.jpg,139691,_posts/2026-06-07-weekly-OFS-102.md:82,
21,1.0147729516029358,assets/images/2025/20240822_20250825/20250824_062608_2.jpg,a circular chart with colored slices,0.6096069812774658,0.20444101095199585,0.40516597032546997,a circular chart with colored slices,a scientific plot,a circular chart with colored slices,1200,900,.jpg,135243,_posts/2025-08-24-weekly-OFS-61.md:379,
22,1.0119631066918373,assets/images/2024/20241122_20241215/20241212_164714_3.jpg,a doughnut chart,0.5604320168495178,0.10890092700719833,0.4515310898423195,a doughnut chart,a flow diagram,a doughnut chart,1200,676,.jpg,92580,_posts/2024-12-22-weekly-OFS-26.md:161,
23,0.9951838627457619,assets/images/2025/20240804_20250330/20250325_075232_0.jpg,a doughnut chart,0.5514268279075623,0.10766979306936264,0.4437570348381996,a doughnut chart,a technical diagram,a doughnut chart,1199,675,.jpg,94830,_posts/2025-03-30-weekly-OFS-40.md:176,
24,0.9694655239582062,assets/images/2026/20240822_20260427/20260423_004232_0.jpg,a doughnut chart,0.5481856465339661,0.12690576910972595,0.4212798774242401,a doughnut chart,a line chart,a doughnut chart,1200,681,.jpg,75737,_posts/2026-04-27-weekly-OFS-96.md:90,
25,0.9671737849712372,assets/images/2024/20240429_20241204/20241129_170730_2.jpg,a circular chart with colored slices,0.5543075203895569,0.1414412558078766,0.4128662645816803,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,792,648,.jpg,44787,_posts/2024-12-08-weekly-OFS-24.md:97,
26,0.9671737849712372,assets/images/2025/20240701_20250621/20241129_170730_3.jpg,a circular chart with colored slices,0.5543075203895569,0.1414412558078766,0.4128662645816803,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,792,648,.jpg,44787,,
27,0.9547645226120949,assets/images/2025/20240822_20250825/20250824_060821_0.jpg,a circular chart with colored slices,0.516923189163208,0.07908185571432114,0.43784133344888687,a circular chart with colored slices,a microscope image,a circular chart with colored slices,1200,1105,.jpg,99932,_posts/2025-08-24-weekly-OFS-61.md:371,
28,0.9142911732196808,assets/images/imported/lnnb-unitcell-simulations-1806-1812/image99.png,a circular chart with colored slices,0.531133234500885,0.14797529578208923,0.3831579387187958,a circular chart with colored slices,a ring resonator diagram,a circular chart with colored slices,189,524,.png,54983,_posts/2018-06-23-lnnb-unitcell-simulations-1806-1812.md:566,
29,0.9138984084129333,assets/images/2025/20241218_20260104/20251230_090032_0.jpg,a circular chart with colored slices,0.563271164894104,0.21264392137527466,0.35062724351882935,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,744,736,.jpg,73767,_posts/2026-01-08-weekly-OFS-80.md:90,
30,0.9053866341710091,assets/images/2025/20240920_20251005/20250930_061835_1.jpg,a circular percentage chart,0.5064806342124939,0.10757463425397873,0.39890599995851517,a circular percentage chart,a scientific plot,a circular percentage chart,1200,577,.jpg,58176,_posts/2025-10-06-weekly-OFS-67.md:121; _posts/trash_2025-10-05-weekly-OFS-67.md:109,
31,0.8868775367736816,assets/images/2024/20240702_20241207/20241207_212301_2.jpg,a circular chart with colored slices,0.5124471187591553,0.1380167007446289,0.37443041801452637,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,640,360,.jpg,17451,_posts/2024-12-15-weekly-OFS-25.md:193,
32,0.8657492995262146,assets/images/2025/20240822_20250825/20240822_034508_0.jpg,a circular chart with colored slices,0.5016716718673706,0.1375940442085266,0.364077627658844,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,813,1200,.jpg,132842,_posts/2025-08-24-weekly-OFS-61.md:366,
33,0.8537071347236633,assets/images/2024/20240531_20241225/20241220_074637_0.jpg,a doughnut chart,0.5112044811248779,0.16870182752609253,0.3425026535987854,a doughnut chart,a circular object that is not a chart,a doughnut chart,1200,1046,.jpg,109878,_posts/2024-12-29-weekly-OFS-27.md:133,
34,0.8510152846574783,assets/images/2025/20241215_20250915/20250914_083335_0.jpg,a composition breakdown pie chart,0.527876079082489,0.2047368735074997,0.3231392055749893,a composition breakdown pie chart,a technical diagram,a composition breakdown pie chart,894,1200,.jpg,109936,_posts/2025-09-15-weekly-OFS-64.md:247,
35,0.8468546718358994,assets/images/2025/20240910_20250117/20240910_152346_2.jpg,a circular percentage chart,0.4833389222621918,0.11982317268848419,0.3635157495737076,a circular percentage chart,a bar chart,a circular percentage chart,1200,871,.jpg,113099,_posts/2025-01-19-weekly-OFS-30.md:73,
36,0.8432302325963974,assets/images/2025/20240920_20251005/20250930_034606_1.jpg,a circular chart with colored slices,0.5035943388938904,0.16395844519138336,0.339635893702507,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1200,908,.jpg,122576,_posts/2025-10-06-weekly-OFS-67.md:153; _posts/trash_2025-10-05-weekly-OFS-67.md:143,
37,0.843185942620039,assets/images/2026/20240131_20260208/20260202_173355_0.jpg,a circular chart with colored slices,0.4379511773586273,0.03271641209721565,0.40523476526141167,a circular chart with colored slices,a scientific plot,a circular chart with colored slices,1200,895,.jpg,69948,_posts/2026-02-08-weekly-OFS-85.md:300,
38,0.8422400817275048,assets/images/2025/20240624_20251221/20251216_064612_0.jpg,a doughnut chart,0.41961780190467834,0.02199552208185196,0.3976222798228264,a doughnut chart,a circular object that is not a chart,a doughnut chart,1199,674,.jpg,148107,_posts/2025-12-22-weekly-OFS-78.md:108,percent
39,0.8395490348339081,assets/images/2026/20240704_20260519/20260516_045236_0.jpg,a circular percentage chart,0.4787379503250122,0.11792686581611633,0.3608110845088959,a circular percentage chart,a scatter plot,a circular percentage chart,1200,807,.jpg,145477,_posts/2026-06-07-weekly-OFS-102.md:216,
40,0.8327076286077499,assets/images/2026/20240502_20260420/20260416_062723_0.jpg,a doughnut chart,0.46458184719085693,0.09645606577396393,0.368125781416893,a doughnut chart,a bar chart,a doughnut chart,1200,759,.jpg,78391,_posts/2026-04-20-weekly-OFS-95.md:148,
41,0.8275716751813889,assets/images/2024/20241017_20241027/20241026_053635_6.jpg,a circular chart with colored slices,0.5221765637397766,0.21678145229816437,0.30539511144161224,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1200,948,.jpg,89648,,
42,0.7887913435697556,assets/images/imported/20250619-sc-qubits-intro/image4.png,a circular chart with colored slices,0.4276478588581085,0.06650437414646149,0.36114348471164703,a circular chart with colored slices,a ring resonator diagram,a circular chart with colored slices,1654,1794,.png,4031930,_posts/2025-09-28-20250619-sc-qubits-intro.md:120,
43,0.7842373996973038,assets/images/2025/20241229_20250804/20250731_074557_0.jpg,a circular percentage chart,0.4327632784843445,0.08128915727138519,0.3514741212129593,a circular percentage chart,a bar chart,a circular percentage chart,751,877,.jpg,274894,_posts/2025-08-05-weekly-OFS-58.md:164,
44,0.755737841129303,assets/images/2024/20240429_20241204/20241129_082928_0.jpg,a circular chart with colored slices,0.4367632567882538,0.11778867244720459,0.3189745843410492,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,792,648,.jpg,71727,_posts/2024-12-08-weekly-OFS-24.md:84,
45,0.755737841129303,assets/images/2024/20240429_20241204/20241129_170730_3.jpg,a circular chart with colored slices,0.4367632567882538,0.11778867244720459,0.3189745843410492,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,792,648,.jpg,71727,_posts/2024-12-08-weekly-OFS-24.md:98,
46,0.755737841129303,assets/images/2025/20240701_20250621/20241129_170730_4.jpg,a circular chart with colored slices,0.4367632567882538,0.11778867244720459,0.3189745843410492,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,792,648,.jpg,71727,,
47,0.7545779049396515,assets/images/2025/20231216_20251013/20240630_035529_0.jpg,a composition breakdown pie chart,0.4268694221973419,0.09916093945503235,0.32770848274230957,a composition breakdown pie chart,a ring resonator diagram,a composition breakdown pie chart,1200,668,.jpg,124521,_posts/2025-10-13-weekly-OFS-68.md:125,
48,0.7453906238079071,assets/images/2025/20231216_20251013/20251011_172048_0.jpg,a circular chart with colored slices,0.5572816729545593,0.36917272210121155,0.18810895085334778,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,675,1200,.jpg,47558,_posts/2025-10-13-weekly-OFS-68.md:236,
49,0.7447863966226578,assets/images/2025/20240712_20250111/20250107_084115_0.jpg,a doughnut chart,0.41313859820365906,0.08149079978466034,0.3316477984189987,a doughnut chart,a line chart,a doughnut chart,1073,1200,.jpg,130448,_posts/2025-01-12-weekly-OFS-29.md:98,
50,0.7286954373121262,assets/images/2026/20241208_20260223/20260222_184005_0.jpg,a doughnut chart,0.3965331017971039,0.0643707662820816,0.3321623355150223,a doughnut chart,a bar chart,a doughnut chart,1179,1179,.jpg,113019,_posts/2026-02-22-weekly-OFS-87.md:262,
51,0.7251241132616997,assets/images/2026/20240502_20260420/20260416_063100_0.jpg,a market share pie chart,0.41189509630203247,0.09866607934236526,0.3132290169596672,a market share pie chart,a circular object that is not a chart,a market share pie chart,1200,874,.jpg,130575,_posts/2026-04-20-weekly-OFS-95.md:152,
52,0.7127853482961655,assets/images/2025/20240822_20250825/20250824_062608_3.jpg,a circular chart with colored slices,0.42227596044540405,0.13176657259464264,0.2905093878507614,a circular chart with colored slices,a microscope image,a circular chart with colored slices,1200,900,.jpg,124529,_posts/2025-08-24-weekly-OFS-61.md:380,
53,0.7096594721078873,assets/images/2025/20240619_20250322/20250316_021926_0.jpg,a circular chart with colored slices,0.41155585646629333,0.1134522408246994,0.29810361564159393,a circular chart with colored slices,a scientific plot,a circular chart with colored slices,1200,581,.jpg,131892,_posts/2025-03-23-weekly-OFS-39.md:69,
54,0.7096594721078873,assets/images/2025/20250316_20250518/20250316_021926_1.jpg,a circular chart with colored slices,0.41155585646629333,0.1134522408246994,0.29810361564159393,a circular chart with colored slices,a scientific plot,a circular chart with colored slices,1200,581,.jpg,131892,,
55,0.7027072846889496,assets/images/2025/20241122_20250420/20250418_002245_0.jpg,a composition breakdown pie chart,0.37148696184158325,0.06526663899421692,0.30622032284736633,a composition breakdown pie chart,a flow diagram,a composition breakdown pie chart,1200,685,.jpg,83639,_posts/2025-04-20-weekly-OFS-43.md:251,breakdown
56,0.7021189630031586,assets/images/2025/20250214_20250921/20250920_031334_1.jpg,a circular percentage chart,0.3942757248878479,0.08643248677253723,0.30784323811531067,a circular percentage chart,a technical diagram,a circular percentage chart,598,718,.jpg,124744,_posts/2025-09-21-weekly-OFS-65.md:257,
57,0.701445922255516,assets/images/2025/20241101_20250216/20250211_090617_1.jpg,a circular chart with colored slices,0.45831653475761414,0.21518714725971222,0.24312938749790192,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1199,938,.jpg,117590,_posts/2025-02-16-weekly-OFS-34.md:231,
58,0.6857436671853065,assets/images/2025/20240701_20250728/20250728_013633_0.jpg,a market share pie chart,0.3810594081878662,0.07637514919042587,0.30468425899744034,a market share pie chart,a screenshot of a website,a market share pie chart,985,1200,.jpg,107559,_posts/2025-07-27-weekly-OFS-57.md:261,
59,0.6821800619363785,assets/images/2025/20241027_20250720/20250718_050749_0.jpg,a doughnut chart,0.4198223352432251,0.15746460855007172,0.2623577266931534,a doughnut chart,a bar chart,a doughnut chart,963,1199,.jpg,253720,_posts/2025-07-21-weekly-OFS-56.md:194,
60,0.67701978944242,assets/images/2025/20250105_20250615/20250612_034939_0.jpg,a doughnut chart,0.33541229367256165,0.018804797902703285,0.31660749576985836,a doughnut chart,a circular object that is not a chart,a doughnut chart,1200,1085,.jpg,95095,_posts/2025-06-15-weekly-OFS-51.md:167,revenue
61,0.6762492954730988,assets/images/2024/20240531_20241225/20241221_164550_0.jpg,a circular chart with colored slices,0.42798876762390137,0.17972823977470398,0.2482605278491974,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1200,675,.jpg,85370,_posts/2024-12-29-weekly-OFS-27.md:161,
62,0.6643853038549423,assets/images/2024/20240702_20241207/20241207_201601_3.jpg,a circular percentage chart,0.4335923194885254,0.20279933512210846,0.23079298436641693,a circular percentage chart,a circular object that is not a chart,a circular percentage chart,1200,899,.jpg,83904,,
63,0.6632032245397568,assets/images/2026/20240822_20260427/20260420_161205_1.jpg,a doughnut chart,0.4023052752017975,0.1414073258638382,0.2608979493379593,a doughnut chart,a line chart,a doughnut chart,1199,632,.jpg,63597,_posts/2026-04-27-weekly-OFS-96.md:70,
64,0.6624784469604492,assets/images/2025/20250105_20250615/20250611_150418_1.jpg,a doughnut chart,0.39515164494514465,0.1278248429298401,0.26732680201530457,a doughnut chart,a flow diagram,a doughnut chart,1200,675,.jpg,96013,_posts/2025-06-15-weekly-OFS-51.md:152,
65,0.658107116818428,assets/images/2024/chamfer_microstrip_bend.jpeg,a circular percentage chart,0.42946529388427734,0.20082347095012665,0.2286418229341507,a circular percentage chart,a circular object that is not a chart,a circular percentage chart,2168,1624,.jpeg,181234,_posts/2024-08-18-weekly-OFS-8.md:67,
66,0.6569924503564835,assets/images/2026/20240502_20260420/20260416_062052_0.jpg,a doughnut chart,0.3986193537712097,0.14024625718593597,0.25837309658527374,a doughnut chart,a line chart,a doughnut chart,1199,632,.jpg,63903,_posts/2026-04-20-weekly-OFS-95.md:143,
67,0.6569924503564835,assets/images/2026/20240822_20260427/20260416_062052_1.jpg,a doughnut chart,0.3986193537712097,0.14024625718593597,0.25837309658527374,a doughnut chart,a line chart,a doughnut chart,1199,632,.jpg,63903,_posts/2026-04-27-weekly-OFS-96.md:48,
68,0.6566969379782677,assets/images/2026/20240918_20260601/20260522_035711_0.jpg,a doughnut chart,0.37335753440856934,0.090018130838871,0.28333940356969833,a doughnut chart,a scientific plot,a doughnut chart,767,767,.jpg,324792,_posts/2026-06-14-weekly-OFS-103.md:129,
69,0.6550894975662231,assets/images/2025/20250105_20250615/20250611_150132_0.jpg,a doughnut chart,0.394816130399704,0.13454276323318481,0.26027336716651917,a doughnut chart,a flow diagram,a doughnut chart,1200,675,.jpg,119993,_posts/2025-06-15-weekly-OFS-51.md:149,
70,0.6507183685898781,assets/images/2025/20250105_20250615/20250612_032606_1.jpg,a donut chart,0.3732151985168457,0.09571202844381332,0.2775031700730324,a donut chart,a circular object that is not a chart,a donut chart,1200,876,.jpg,75246,_posts/2025-06-15-weekly-OFS-51.md:159,
71,0.6325167715549469,assets/images/2025/20240910_20250117/20250116_020210_0.jpg,a doughnut chart,0.3903052508831024,0.14809373021125793,0.24221152067184448,a doughnut chart,a bar chart,a doughnut chart,918,756,.jpg,77459,_posts/2025-01-19-weekly-OFS-30.md:200,
72,0.6247742623090744,assets/images/2026/20240611_20260216/20260215_003957_0.jpg,a circular chart with colored slices,0.4328346252441406,0.24089498817920685,0.19193963706493378,a circular chart with colored slices,a table,a circular chart with colored slices,522,522,.jpg,321807,_posts/2026-02-17-weekly-OFS-86.md:285,
73,0.614632785320282,assets/images/2025/20241101_20250216/20250212_070932_4.jpg,a circular chart with colored slices,0.43532511591911316,0.25601744651794434,0.17930766940116882,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1200,1068,.jpg,265028,,
74,0.6130142658948898,assets/images/2024/20241111_20241122/20241118_095330_0.jpg,a donut chart,0.35604673624038696,0.0990792065858841,0.25696752965450287,a donut chart,a circular object that is not a chart,a donut chart,639,1200,.jpg,76390,_posts/2024-11-24-weekly-OFS-22.md:131,
75,0.6061061136424541,assets/images/2025/20241113_20250130/20250129_100124_0.jpg,a market share pie chart,0.32902488112449646,0.05194364860653877,0.2770812325179577,a market share pie chart,a scatter plot,a market share pie chart,1200,678,.jpg,117155,_posts/2025-02-02-weekly-OFS-32.md:265,
76,0.6038466170430183,assets/images/2025/20240918_20250414/20250405_070030_0.jpg,a doughnut chart,0.34600305557250977,0.08815949410200119,0.2578435614705086,a doughnut chart,a circular object that is not a chart,a doughnut chart,1003,1200,.jpg,322298,_posts/2025-04-13-weekly-OFS-42.md:68,
77,0.6026018932461739,assets/images/2025/20240701_20250728/20250728_013633_1.jpg,a donut chart,0.34833866357803345,0.09407543390989304,0.2542632296681404,a donut chart,a screenshot of a website,a donut chart,1126,1172,.jpg,96607,_posts/2025-07-27-weekly-OFS-57.md:262,
78,0.5976934432983398,assets/images/imported/lnnb-full-beam-simulations-1806-1812/image73.png,a doughnut chart,0.38691088557243347,0.1761283278465271,0.21078255772590637,a doughnut chart,a ring resonator diagram,a doughnut chart,859,329,.png,47904,_posts/2018-06-01-lnnb-full-beam-simulations-1806-1812.md:1103,
79,0.5969633311033249,assets/images/imported/lnnb-full-beam-simulations-1806-1812/image21.png,a circular chart with colored slices,0.35230734944343567,0.10765136778354645,0.24465598165988922,a circular chart with colored slices,a technical diagram,a circular chart with colored slices,834,402,.png,79051,_posts/2018-06-01-lnnb-full-beam-simulations-1806-1812.md:642,
80,0.5953070223331451,assets/images/2024/drone_part_source.jpeg,a doughnut chart,0.3609708249568939,0.1266346275806427,0.23433619737625122,a doughnut chart,a bar chart,a doughnut chart,828,892,.jpeg,91620,_posts/2024-08-04-weekly-OFS-6.md:73,
81,0.5927619785070419,assets/images/2024/20240702_20241207/20241207_212301_1.jpg,a circular chart with colored slices,0.39059343934059143,0.18842490017414093,0.2021685391664505,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,640,360,.jpg,17618,_posts/2024-12-15-weekly-OFS-25.md:192,
82,0.5885319039225578,assets/images/2025/20251029_20251110/20251102_224210_0.jpg,a doughnut chart,0.3421030044555664,0.09567410498857498,0.24642889946699142,a doughnut chart,a circular object that is not a chart,a doughnut chart,1200,1010,.jpg,189389,_posts/2025-11-09-weekly-OFS-72.md:76,
83,0.5856755375862122,assets/images/2026/20241208_20260223/20260220_071106_0.jpg,a doughnut chart,0.31067413091659546,0.03567272424697876,0.2750014066696167,a doughnut chart,a line chart,a doughnut chart,1200,673,.jpg,113497,_posts/2026-02-22-weekly-OFS-87.md:186,
84,0.5759688019752502,assets/images/2025/20250330_20250628/20250628_180756_1.jpg,a circular chart with colored slices,0.37528377771377563,0.17459875345230103,0.2006850242614746,a circular chart with colored slices,a wafer photo,a circular chart with colored slices,900,1200,.jpg,184131,_posts/2025-06-29-weekly-OFS-53.md:315,
85,0.5741715580224991,assets/images/2025/20241024_20251229/20251224_024413_1.jpg,a circular percentage chart,0.35520678758621216,0.13624201714992523,0.21896477043628693,a circular percentage chart,a table,a circular percentage chart,1133,1200,.jpg,216564,_posts/2025-12-29-weekly-OFS-79.md:117,
86,0.5723951384425163,assets/images/2025/20241012_20260111/20260110_054046_0.jpg,a circular chart with colored slices,0.3257090747356415,0.07902301102876663,0.24668606370687485,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1200,918,.jpg,118598,_posts/2026-01-11-weekly-OFS-81.md:182,
87,0.5714652687311172,assets/images/2026/20240627_20260322/20260317_215756_3.jpg,a donut chart,0.4028749465942383,0.23428462445735931,0.16859032213687897,a donut chart,a bar chart,a donut chart,1200,900,.jpg,181801,_posts/2026-03-23-weekly-OFS-91.md:340,
88,0.5595098361372948,assets/images/2026/20240704_20260519/20260512_021200_0.jpg,a donut chart,0.3173315227031708,0.07515320926904678,0.242178313434124,a donut chart,a scatter plot,a donut chart,1200,792,.jpg,90293,_posts/2026-06-07-weekly-OFS-102.md:194,
89,0.5577856004238129,assets/images/2024/20241122_20241215/20241212_165000_0.jpg,a doughnut chart,0.37550804018974304,0.19323047995567322,0.18227756023406982,a doughnut chart,a technical diagram,a doughnut chart,1200,674,.jpg,72429,_posts/2024-12-22-weekly-OFS-26.md:164,
90,0.556664451956749,assets/images/2026/OFC2026/IMG_4150.JPG,a donut chart,0.4022490084171295,0.24783356487751007,0.15441544353961945,a donut chart,a technical diagram,a donut chart,4032,3024,.jpg,1574152,_posts/2026-04-04-OFC2026.md:5431,
91,0.5553576648235321,assets/images/2026/20240131_20260208/20260204_073032_0.jpg,a circular chart with colored slices,0.4235613942146301,0.29176512360572815,0.13179627060890198,a circular chart with colored slices,a circular object that is not a chart,a circular chart with colored slices,1200,815,.jpg,77267,_posts/2026-02-08-weekly-OFS-85.md:317,
92,0.5477128699421883,assets/images/2025/20250505_20250512/20250510_162216_0.jpg,a donut chart,0.3320542275905609,0.11639558523893356,0.21565864235162735,a donut chart,a bar chart,a donut chart,573,593,.jpg,35524,_posts/2025-05-12-weekly-OFS-46.md:210,
93,0.5425712466239929,assets/images/2025/20240926_20250811/20250809_081211_0.jpg,a circular chart with colored slices,0.3793351650238037,0.2160990834236145,0.1632360816001892,a circular chart with colored slices,a scatter plot,a circular chart with colored slices,968,1200,.jpg,289853,_posts/2025-08-10-weekly-OFS-59.md:217,
94,0.5257425308227539,assets/images/imported/ln-memos-simulations-2018/image159.png,a doughnut chart,0.3266322612762451,0.12752199172973633,0.1991102695465088,a doughnut chart,a scatter plot,a doughnut chart,786,411,.png,54993,_posts/2018-01-03-ln-memos-simulations-2018.md:317,
95,0.5229488164186478,assets/images/2025/20241122_20250420/20250417_013410_0.jpg,a composition breakdown pie chart,0.3572913408279419,0.19163386523723602,0.16565747559070587,a composition breakdown pie chart,a circular object that is not a chart,a composition breakdown pie chart,1200,939,.jpg,239514,_posts/2025-04-20-weekly-OFS-43.md:210,
96,0.5221707820892334,assets/images/2025/20250115_20251102/20251029_043104_0.jpg,a doughnut chart,0.35833755135536194,0.19450432062149048,0.16383323073387146,a doughnut chart,a line chart,a doughnut chart,950,754,.jpg,70279,_posts/2025-11-02-weekly-OFS-71.md:86,
97,0.5206572748720646,assets/images/2024/20240429_20241204/20241129_054258_0.jpg,a composition breakdown pie chart,0.2768542766571045,0.033051278442144394,0.2438029982149601,a composition breakdown pie chart,a circular object that is not a chart,a composition breakdown pie chart,1200,951,.jpg,100251,_posts/2024-12-08-weekly-OFS-24.md:75,
98,0.5163711309432983,assets/images/2025/20240701_20250621/20250619_031136_0.jpg,a doughnut chart,0.3575127422809601,0.19865435361862183,0.15885838866233826,a doughnut chart,a line chart,a doughnut chart,1199,641,.jpg,158849,_posts/2025-06-22-weekly-OFS-52.md:219,
